Error Code,Count
'000,17262945
'652,566538
'150,259159
'201,105024
'151,167406
'203,4372
'215,8927
'210,4824
'200,7346
'207,5493
'202,6591
'650,38555
'211,3496
'221,1074
'152,7063
'214,4159
'005,1024
'065,1780
'062,197
'013,560
'001,4538
'109,5542
'061,668
'206,43
'064,328
'801,119
'217,240
'715,180
'213,932
'205,61
'0\N,6363
'180,892
'160,15
'804,109
'208,49
'161,3210
'511,7
'204,79942
'701,1881
'635,12
'155,6
'634,30207
'041,5
'614,6
'633,4
'277,193
'627,18
'630,2
'088,45
'5101,890132
'5103,55296
'5105,11671
'5106,36664
'5304,8
'5310,146253
'5303,8
'5307,35726
'4000,92
'4004,31
'703,326
'031,3
'063,2
'020,1
'034,3
'002,7995
'051,1636
'003,3919
'009,252
'012,83
'006,4
'613,13
Total,19782268
